timestamp,close,close_right,close_right,close_right,close_right,close_right,close_right,close_right,close_right,close_right
2024-01-13,42851.4,2577.68,303.0,0.5746,0.5491,0.08093,0.886,95.77,7.616,71.99
2024-01-14,41740.9,2474.57,299.0,0.5763,0.5251,0.08006,0.8525,94.14,7.331,69.79
2024-01-15,42527.0,2512.05,317.0,0.5755,0.5274,0.08106,0.8464,94.41,7.507,69.14
2024-01-16,43134.4,2587.61,314.5,0.576,0.5354,0.08149,0.8509,97.67,7.489,69.45
2024-01-17,42778.8,2531.35,309.5,0.5684,0.5276,0.0806,0.811,101.84,7.349,69.47
2024-01-18,41314.5,2470.42,313.5,0.5516,0.5021,0.07802,0.7871,94.34,7.009,68.05
2024-01-19,41665.5,2492.18,314.5,0.5442,0.5046,0.0786,0.7624,93.53,6.869,71.23
2024-01-19,41665.5,2492.18,314.5,0.5442,0.5046,0.0786,0.7624,93.53,6.869,71.23
2024-01-19,41665.5,2492.18,314.5,0.5442,0.5046,0.0786,0.7624,93.53,6.869,71.23
2024-01-19,41665.5,2492.18,314.5,0.5442,0.5046,0.0786,0.7624,93.53,6.869,71.23
2024-01-20,41692.7,2472.11,317.5,0.5536,0.5161,0.08881,0.7875,92.78,6.908,71.34
2024-01-21,41579.6,2457.51,318.0,0.546,0.503,0.08544,0.7834,91.09,6.813,71.69
2024-01-22,39565.2,2314.2,306.0,0.5272,0.4786,0.08112,0.7496,83.87,6.336,67.36
2024-01-22,39565.2,2314.2,306.0,0.5272,0.4786,0.08112,0.7496,83.87,6.336,67.36
2024-01-23,39890.0,2242.62,299.0,0.5144,0.4772,0.07817,0.7253,84.29,6.351,65.46
2024-01-24,40075.5,2235.12,293.5,0.518,0.4762,0.07903,0.7385,88.75,6.459,66.09
2024-01-25,39954.1,2218.77,291.5,0.5134,0.4665,0.0779,0.7326,86.86,6.435,65.45
2024-01-26,41803.4,2267.67,302.5,0.5309,0.4848,0.07983,0.762,92.23,6.669,66.98
2024-01-27,42100.0,2268.02,306.0,0.5299,0.4861,0.08039,0.7878,94.23,6.666,68.03
2024-01-28,42013.8,2257.07,304.5,0.5229,0.4899,0.07885,0.7892,95.95,6.765,68.34
2024-01-29,43225.8,2317.48,311.0,0.5347,0.5259,0.08169,0.8131,101.41,7.028,68.42
2024-01-30,42920.8,2343.8,308.0,0.5084,0.5137,0.08112,0.7994,101.41,6.833,67.47
2024-01-31,42566.6,2283.44,300.0,0.5024,0.498,0.07876,0.7864,96.99,6.649,66.7
2024-02-01,43068.6,2304.27,299.5,0.5055,0.5074,0.07936,0.8108,97.44,6.79,67.48
2024-02-02,43180.0,2309.78,301.0,0.5101,0.5143,0.07924,0.7993,100.49,6.941,67.98
2024-02-03,42988.6,2296.19,300.0,0.5187,0.5125,0.0787,0.7847,97.84,6.825,68.68
2024-02-04,42567.3,2290.1,305.0,0.5031,0.4933,0.07885,0.7733,95.78,6.665,66.95
2024-02-05,42690.2,2302.14,300.5,0.5064,0.4938,0.07832,0.7805,95.62,6.732,67.67
2024-02-06,43056.1,2372.23,303.5,0.5047,0.4982,0.07869,0.8057,96.9,6.804,68.26
2024-02-07,44332.5,2424.79,307.5,0.5133,0.502,0.08015,0.8341,101.16,6.937,68.58
2024-02-08,45268.6,2420.03,318.0,0.5137,0.5293,0.07985,0.8359,102.77,7.008,70.48
2024-02-08,45268.6,2420.03,318.0,0.5137,0.5293,0.07985,0.8359,102.77,7.008,70.48
2024-02-08,45268.6,2420.03,318.0,0.5137,0.5293,0.07985,0.8359,102.77,7.008,70.48
2024-02-08,45268.6,2420.03,318.0,0.5137,0.5293,0.07985,0.8359,102.77,7.008,70.48
2024-02-09,47116.5,2486.94,323.5,0.5256,0.54,0.08157,0.8547,107.13,7.188,70.62
2024-02-10,46999.9,2500.15,322.0,0.5239,0.5517,0.08143,0.849,109.05,7.198,70.76
2024-02-11,48302.0,2507.52,320.0,0.5257,0.5413,0.0812,0.8354,107.48,7.096,71.52
2024-02-12,49949.7,2659.89,328.0,0.5315,0.5597,0.08228,0.8806,111.89,7.338,72.92
2024-02-13,49696.8,2640.08,323.5,0.525,0.545,0.08112,0.8547,112.58,7.329,68.94
2024-02-14,51814.5,2775.35,333.0,0.5379,0.5776,0.08572,0.8908,117.06,7.653,69.87
2024-02-15,51901.1,2823.08,353.5,0.5623,0.6091,0.08535,0.8903,113.62,7.784,69.78
2024-02-16,52142.2,2802.42,360.0,0.5647,0.5988,0.08598,0.9515,110.37,7.649,70.49
2024-02-17,51676.1,2785.81,352.5,0.5499,0.6094,0.08364,0.9289,108.96,7.587,69.98
2024-02-18,52171.5,2882.4,349.0,0.5573,0.6195,0.08529,1.0003,112.32,7.861,70.79
2024-02-19,51810.4,2945.11,352.5,0.5628,0.6312,0.08957,0.9975,111.56,8.029,71.34
2024-02-20,52298.0,3015.35,355.5,0.5629,0.6222,0.08622,1.028,108.38,7.734,69.71
2024-02-21,51876.5,2967.92,379.0,0.5486,0.5988,0.08469,0.9514,104.86,7.472,68.95
2024-02-22,51316.3,2971.24,381.5,0.5416,0.5903,0.08421,0.9949,101.82,7.489,68.85
2024-02-23,50769.2,2921.83,374.5,0.5343,0.5815,0.08453,0.9873,99.82,7.567,68.84
2024-02-24,51605.1,2992.85,382.0,0.5457,0.597,0.08625,0.995,104.08,7.825,70.42
2024-02-25,51762.1,3112.83,388.5,0.5429,0.5897,0.0862,0.9995,103.54,7.927,70.16
2024-02-26,54514.1,3177.22,401.5,0.5512,0.6119,0.08937,1.0602,108.74,8.115,71.73
2024-02-27,57078.0,3243.45,395.0,0.5867,0.6243,0.09838,1.0299,108.22,8.371,74.05
2024-02-28,62491.6,3383.76,414.0,0.5756,0.6314,0.11604,1.0102,119.05,8.349,74.54
2024-02-29,61221.0,3342.07,399.0,0.5863,0.6543,0.11723,1.0009,125.68,8.259,79.24
2024-03-01,62424.5,3432.82,407.0,0.6019,0.7024,0.13951,1.0259,129.72,8.673,84.95
2024-03-02,62035.5,3421.93,410.5,0.6358,0.7384,0.1424,1.0848,129.69,9.396,92.84
2024-03-03,63174.9,3490.0,414.5,0.6272,0.7287,0.15433,1.0906,130.32,9.783,90.76
2024-03-04,68285.9,3626.91,418.0,0.6489,0.7702,0.18196,1.1449,131.9,9.861,88.93
