timestamp,open,high,low,close,volume,turnover
1642824900000,36361.0,36382.0,36278.0,36278.0,39.105,1421026.1195
1642825800000,36278.0,36321.0,36204.0,36290.5,57.029,2067866.2455
1642826700000,36290.5,36334.0,36246.5,36284.0,110.36,4004338.4735
1642827600000,36284.0,36307.0,36168.0,36301.5,105.888,3838168.6775
1642828500000,36301.5,36319.5,36151.0,36160.0,104.473,3786892.3805
1642829400000,36160.0,36192.5,35888.0,35900.0,165.034,5951069.2515
1642830300000,35900.0,35995.0,35616.5,35722.0,147.865,5291873.37
1642831200000,35722.0,35928.5,35711.0,35727.5,330.404,11836788.7465
1642832100000,35727.5,35839.5,35561.0,35561.5,75.863,2711351.4845
1642833000000,35561.5,35963.5,35384.5,35909.0,251.59,8968728.831
1642833900000,35909.0,35909.0,35621.5,35706.0,197.611,7064374.8565
1642834800000,35706.0,35869.0,35605.0,35729.0,108.339,3871202.204
1642835700000,35729.0,35778.0,35261.5,35331.0,239.78,8517426.193
1642836600000,35331.0,35563.5,35131.5,35538.5,267.822,9467611.2855
1642837500000,35538.5,35658.5,35401.5,35401.5,92.923,3302897.0115
1642838400000,35401.5,35753.5,35395.5,35612.0,47.659,1698386.416
1642839300000,35612.0,35788.0,35474.5,35750.0,68.497,2441062.002
1642840200000,35750.0,35777.0,35641.0,35642.5,47.399,1691872.9265
1642841100000,35642.5,35725.0,35579.5,35586.5,69.429,2474370.834
1642842000000,35586.5,35712.5,35400.5,35496.5,146.213,5191372.123
1642842900000,35496.5,35592.5,35392.0,35401.5,77.196,2738350.352
1642843800000,35401.5,35468.0,34989.0,35137.5,154.014,5412239.69
1642844700000,35137.5,35238.5,34635.0,34831.5,325.974,11381318.6165
1642845600000,34831.5,34927.5,34000.0,34439.5,524.503,18040889.405
1642846500000,34439.5,35035.0,34274.5,34866.0,392.447,13608940.372
1642847400000,34866.0,35916.0,34865.5,35627.0,1055.116,37509185.346
1642848300000,35627.0,35627.0,35207.5,35463.5,653.64,23151733.295
1642849200000,35463.5,35631.5,35272.0,35272.0,136.301,4829158.23
1642850100000,35272.0,35433.5,35240.5,35355.0,78.858,2784774.366
1642851000000,35355.0,35406.0,35021.5,35051.0,131.176,4620770.275
1642851900000,35051.0,35493.0,34825.0,35413.0,461.015,16184881.5605
1642852800000,35413.0,35659.5,35348.0,35563.0,358.516,12726018.412
1642853700000,35563.0,35866.0,35351.5,35367.0,354.399,12663365.1645
1642854600000,35367.0,35679.5,35367.0,35548.0,200.208,7110315.747
1642855500000,35548.0,35854.5,35548.0,35782.5,464.838,16612193.916
1642856400000,35782.5,35827.5,35563.5,35804.5,68.327,2434167.487
1642857300000,35804.5,36167.5,35749.0,35760.5,322.452,11597712.106
1642858200000,35760.5,35820.0,35650.5,35709.5,121.15,4327222.859
1642859100000,35709.5,35735.0,35530.0,35591.5,86.506,3082724.263
1642860000000,35591.5,35615.0,35374.0,35374.0,107.793,3829283.7185
1642860900000,35374.0,35573.0,35374.0,35478.0,80.597,2862775.3815
1642861800000,35478.0,35628.5,35414.0,35475.5,134.199,4765875.537
1642862700000,35475.5,35533.0,34990.5,35017.5,247.919,8738644.6815
1642863600000,35017.5,35301.0,35012.5,35133.5,381.592,13427288.381
1642864500000,35133.5,35224.0,34965.5,35020.0,430.184,15103921.5975
1642865400000,35020.0,35159.0,34904.5,34997.5,630.775,22066398.103
1642866300000,34997.5,35001.0,34804.5,34840.5,571.751,19942932.1575
1642867200000,34840.5,35440.0,34511.5,35338.0,905.755,31621437.8135
1642868100000,35338.0,35475.5,35137.0,35264.0,500.212,17648923.109
1642869000000,35264.0,35314.5,35105.5,35159.0,236.605,8325743.813
1642869900000,35159.0,35161.0,34851.5,35072.0,670.226,23448597.3075
1642870800000,35072.0,35175.0,34696.5,34848.5,782.629,27356652.8335
1642871700000,34848.5,34990.0,34600.5,34619.0,517.093,18006541.389
1642872600000,34619.0,34783.0,34612.0,34740.0,361.76,12555882.176
1642873500000,34740.0,34833.0,34500.0,34611.5,558.616,19338960.8415
1642874400000,34611.5,34617.5,34244.0,34481.5,397.05,13659809.3
1642875300000,34481.5,34766.0,34396.5,34468.0,174.196,6032044.588
1642876200000,34468.0,34492.0,34302.0,34372.0,53.044,1823669.3005
1642877100000,34372.0,34625.5,34372.0,34390.0,90.677,3127321.387
1642878000000,34390.0,34655.5,34389.0,34610.5,69.805,2414831.663
1642878900000,34610.5,34701.0,34362.0,34426.5,87.002,2997052.557
1642879800000,34426.5,34681.0,34412.5,34610.5,78.662,2717903.0765
1642880700000,34610.5,34818.0,34438.0,34497.0,137.665,4772016.988
1642881600000,34497.0,35317.0,34439.0,35270.0,240.607,8391383.112
1642882500000,35270.0,35508.5,34850.5,34921.0,218.528,7698133.2375
1642883400000,34921.0,35146.5,34920.5,34920.5,130.936,4587085.9145
1642884300000,34920.5,35420.0,34665.0,35290.0,271.543,9532955.081
1642885200000,35290.0,35344.5,35095.0,35130.0,129.729,4564056.941
